"","Year","Country_Name","Country_Code","Agricultural.land....of.land.area.","Agricultural.machinery..tractors","Arable.land....of.land.area.","Fertilizer.consumption..kilograms.per.hectare.of.arable.land.","CO2.emissions..kt.","Inflation..consumer.prices..annual...","GDP.growth..annual...","Climate.deg.C.","Precipitation.mm.","Yield_Potato","Yield_Rice","Yield_Wheat"
"1",1961,"India","IND",58.84319536,31016,52.4036473,2.17128994,277224,1.69521294,3.72274253,24.37,1188.03,72507,15419,8507
"2",1962,"India","IND",59.35779415,35000,52.7043344,2.88576899,290872.6,3.63221497,2.93112774,24.37,1157.69,67041,13959,8896
"3",1963,"India","IND",59.24747493,40000,52.9633155,3.45399124,304521.2,2.94616136,5.99435326,24.37,1126.18,81477,15498,7929
"4",1964,"India","IND",59.43515214,44000,53.0514363,4.90198565,318169.8,13.3552612,7.45295012,24.38,1098.61,62482,16171,7299
"5",1965,"India","IND",59.59154982,48000,53.2142245,4.95904333,331818.4,9.47475859,-2.6357701,24.39,1079.62,84033,12936,9132
"6",1966,"India","IND",59.71027751,54012,53.3400153,6.93990794,345467,10.8018484,-0.0553288,24.4,1069.39,85094,12952,8268
"7",1967,"India","IND",59.80344344,66000,53.7402588,9.63199399,359115.6,13.0622025,7.82596303,24.4,1066.68,74403,15484,8874
"8",1968,"India","IND",59.99078431,78000,53.8374608,10.9996314,372764.2,3.23741243,3.38792918,24.4,1070.22,84410,16134,11028
"9",1969,"India","IND",59.79839835,90000,53.8061812,12.3893584,386412.8,-0.5841366,6.5397003,24.4,1078.75,90113,16094,11688
"10",1970,"India","IND",59.88584652,1e+05,54.0026033,14.054559,400061.4,5.09226162,5.15722974,24.39,1090.97,78883,16849,12086
"11",1971,"India","IND",59.80680683,143000,53.7321866,16.6303613,413710,3.07993868,1.64293038,24.38,1105.33,99755,17110,13066
"12",1972,"India","IND",59.85019457,170000,53.8768125,17.2792878,359115.6,6.44209746,-0.5533013,24.37,1120.13,98099,16046,13799
"13",1973,"India","IND",60.12094753,184293,54.1653914,17.6256178,372764.2,16.940816,3.29552114,24.36,1133.53,88208,17259,12708
"14",1974,"India","IND",60.29954359,203351,54.3190983,15.9336475,386412.8,28.5987341,1.18533626,24.36,1143.81,89457,15744,11719
"15",1975,"India","IND",60.43811529,227668,54.4324446,21.5882549,468304.4,5.7484303,9.14991202,24.38,1149.24,105982,18582,13384
"16",1976,"India","IND",60.42298003,250884,54.5061029,21.0839396,481953,-7.6339476,1.66310364,24.41,1149.28,117384,16372,14103
"17",1977,"India","IND",60.40347236,294313,54.5067756,26.5076299,454655.8,8.30747009,7.25476459,24.46,1145.21,115731,19613,13866
"18",1978,"India","IND",60.74014779,334138,54.9036557,31.4324396,464582.0545,2.52304876,5.71253209,24.5,1138.47,122282,19912,14798
"19",1979,"India","IND",60.73611172,378714,54.9726052,32.2612026,474508.3091,6.27568337,-5.2381827,24.54,1130.45,125548,16105,15683
"20",1980,"India","IND",60.63251928,382869,54.7741651,33.9727609,484434.5636,11.3460735,6.73582153,24.57,1122.58,121521,20002,14356
"21",1981,"India","IND",60.67590702,417769,54.7936728,37.3489982,494360.8182,13.1125469,6.00620363,24.59,1115.89,132104,19623,16299
"22",1982,"India","IND",60.80035248,461567,54.90601,35.9304363,504287.0727,7.89074279,3.47573324,24.59,1110.09,129957,18497,16913
"23",1983,"India","IND",60.69642371,502581,54.7331318,40.7756311,514213.3273,11.8680813,7.2888929,24.59,1104.69,135456,21833,18158
"24",1984,"India","IND",61.0293994,553555,55.0311282,48.8907089,524139.5818,8.31890712,3.82073786,24.59,1099.15,152988,21272,18432
"25",1985,"India","IND",60.99172942,607773,55.0048937,52.9864253,534065.8364,5.55642423,5.25429922,24.58,1093,148064,23292,18701
"26",1986,"India","IND",60.94195124,648932,54.9608333,58.8559994,543992.0909,8.72972073,4.77656417,24.58,1085.91,123639,22052,20460
"27",1987,"India","IND",61.06000626,697568,54.8922201,51.1179192,553918.3455,8.80112581,3.96535564,24.59,1079.01,153221,21991,19162
"28",1988,"India","IND",60.90798099,750935,54.7788739,66.0964708,563844.6,9.38347186,9.62778292,24.6,1074,158694,25486,20019
"29",1989,"India","IND",61.04588001,925365,54.983368,69.210771,573770.8545,7.07428003,5.94734333,24.6,1072.62,159290,26160,22444
"30",1990,"India","IND",61.01628218,988070,54.9776503,73.5230241,563575.4,8.9712325,5.53345456,24.61,1076.58,157136,26125,21211
"31",1991,"India","IND",61.07446884,1063012,54.8844843,77.9993198,607224,13.8702462,1.05683143,24.61,1087.39,162540,26271,22814
"32",1992,"India","IND",60.97995755,1136160,54.7243869,74.7016644,626293.3,11.787817,5.48239602,24.6,1103.47,160294,26092,23940
"33",1993,"India","IND",61.00585566,1195013,54.6840263,76.1767372,651351.1,6.32689049,4.75077622,24.6,1120.38,149024,28303,23267
"34",1994,"India","IND",60.97524881,1257630,54.6635096,83.4558929,685903,10.2479356,6.65892407,24.6,1133.75,166101,28645,23796
"35",1995,"India","IND",60.85887548,1354864,54.4569974,85.7028553,737856.4,10.2248862,7.57449184,24.62,1139.16,162720,26972,25590
"36",1996,"India","IND",60.73913877,1502000,54.1590009,89.0423288,774070.2,8.97715234,7.54952225,24.65,1132.2,169913,28226,24828
"37",1997,"India","IND",60.87098369,1650000,54.3527323,100.172561,819268.8,7.16425212,4.04982085,24.7,1112.29,193913,28457,26789
"38",1998,"India","IND",60.83499541,1797000,54.2881552,104.067952,836269.9,13.230839,6.18441582,24.76,1085.03,146020,28805,24852
"39",1999,"India","IND",60.88443725,1944000,54.142184,112.17102,901325.2,4.66982038,8.84575556,24.83,1056.64,175712,29782,25901
"40",2000,"India","IND",60.86896566,2091000,54.1270487,103.786118,937858.4,4.00943591,3.84099116,24.9,1033.27,186443,28508,27785
"41",2001,"India","IND",60.70483218,2238000,53.9235636,108.182199,953537.3,3.77929312,4.82396626,24.96,1021.27,183627,31158,27081
"42",2002,"India","IND",60.72938494,2385000,53.9595519,100.329055,985453.3,4.29715204,3.80397532,25.01,1024.7,194173,26163,27621
"43",2003,"India","IND",60.62478348,2532900,53.7466492,105.177204,1011770.9,3.805859,7.86038148,25.05,1040.44,173208,31177,26100
"44",2004,"India","IND",60.66716221,2680800,53.7069612,115.27151,1085666.9,3.76725174,7.92293661,25.08,1063.83,188091,29756,27132
"45",2005,"India","IND",60.58341377,2828700,53.6272489,127.614592,1136466.4,4.24634362,7.92343062,25.1,1090.01,188908,31537,26016
"46",2006,"India","IND",60.50941918,2976600,53.3642317,136.403922,1215205.2,5.79652338,8.06073257,25.11,1114.31,185920,31759,26188
"47",2007,"India","IND",60.4132262,3124500,53.1489747,142.835226,1336737.1,6.37288136,7.66081507,25.11,1132.47,164101,32924,27079
"48",2008,"India","IND",60.45930465,3272400,53.1398935,153.349391,1424383,8.34926705,3.08669806,25.1,1143.78,192973,32509,28022
"49",2009,"India","IND",60.56390611,3420300,53.1160134,167.457296,1564881.1,10.8823529,7.86188883,25.09,1149.16,188103,32366,29071
"50",2010,"India","IND",60.39741826,3568200,52.8082632,179.035877,1659983,11.9893899,8.4975847,25.08,1149.59,199299,33587,28395
"51",2011,"India","IND",60.43004315,3716100,52.798173,180.748291,1756744,8.91179337,5.241315,25.07,1146.06,227240,35878,29886
"52",2012,"India","IND",60.42062566,3864000,52.6525382,163.122022,1909442,9.47899691,5.45638875,25.06,1139.54,217530,36909,31775
"53",2013,"India","IND",60.43946065,4011900,52.6175589,156.495698,1972429.4,10.0178785,6.3861064,25.06,1131.79,227606,36070,31538
"54",2014,"India","IND",60.44955082,4159800,52.624622,163.498079,2147107,6.66565672,7.41022761,25.06,1125.2,229224,35638,31457
"55",2015,"India","IND",60.43172485,4307700,52.6078051,171.038213,2158023.2,4.90697344,7.99625379,25.07,1122.19,231257,36077,27496
"56",2016,"India","IND",60.39909996,4455600,52.5755165,166.003058,2195248.5,4.94821634,8.2563055,25.07,1125.21,205087,37902,30339
"57",2017,"India","IND",60.2839388,4603500,52.4336272,170.569145,2308804.4,3.32817338,6.79538342,25.08,1136.65,223061,38639,31999
"58",2018,"India","IND",60.24356466,4751400,52.2932981,176.071313,2458175.9,3.93882647,6.45385135,25.08,1157.53,239542,39568,33682
"59",2019,"India","IND",60.21981337,4899300,52.2566928,186.456666,2423951.4,3.72950574,3.87143694,25.09,1186.19,230971,40837,35334
"60",2020,"India","IND",60.04586286,5047200,51.9468813,210.65738,2200836.3,6.62343678,-5.8310532,25.1,1220.79,236772,41380,34398
"61",2021,"India","IND",60.04592643,5195100,51.9468813,193.245041,2200836.3,5.13140747,9.05027791,25.11,1259.18,241237,42137,34669
"62",1961,"Bangladesh","BGD",72.8278405,750,66.1058616,2.61475886,9643.45,1.69521294,6.05816083,25.54,2292.83,61491,17005,5738
"63",1962,"Bangladesh","BGD",72.8047937,800,66.0444035,3.14063045,9718.5,3.63221497,5.45303097,25.52,2308.2,60217,15302,6753
"64",1963,"Bangladesh","BGD",72.8278405,850,66.1058616,5.69436374,9793.55,2.94616136,-0.4558943,25.49,2320.33,62676,17690,6069
"65",1964,"Bangladesh","BGD",73.135131,900,66.3747407,5.20833333,9868.6,3.87232992,10.9527886,25.46,2324.4,58458,17070,6011
"66",1965,"Bangladesh","BGD",74.0339556,950,67.4272106,6.17523072,9943.65,2.69521294,1.60625823,25.43,2316.67,72386,16827,6467
"67",1966,"Bangladesh","BGD",74.133825,1000,67.5885381,8.61559445,10018.7,3.63221497,2.566812,25.39,2299.96,81351,15827,6473
"68",1967,"Bangladesh","BGD",74.4795268,1100,67.9342398,10.8560443,10093.75,2.94616136,-1.8758639,25.36,2279.44,85298,16944,7926
"69",1968,"Bangladesh","BGD",74.279788,1300,67.8266882,12.2324159,10168.8,1.87232992,9.48945402,25.33,2260.24,93601,17466,7580
"70",1969,"Bangladesh","BGD",74.3258815,1500,67.6807252,14.7219069,10243.85,0.735841366,1.22085791,25.31,2247.65,94964,17459,7964
"71",1970,"Bangladesh","BGD",74.4948913,2072,67.8881463,16.2045943,10318.9,1.057017033,5.61985229,25.3,2246.39,101253,16862,8740
"72",1971,"Bangladesh","BGD",74.4795268,2270,67.8881463,12.9229377,10393.95,0.177074508,-5.479483,25.3,2255.54,99607,16022,8880
"73",1972,"Bangladesh","BGD",76.7534762,2470,70.1620957,19.9393409,10469,1.44209746,-13.973729,25.31,2269.9,98746,15716,9038
"74",1973,"Bangladesh","BGD",76.7381117,2660,70.1467312,19.9335232,10544.05,1.940816,3.3256802,25.32,2284.05,95370,18083,7572
"75",1974,"Bangladesh","BGD",76.7381117,2860,70.1467312,14.1398533,10619.1,2.5987341,9.5919563,25.33,2292.68,91192,17289,8987
"76",1975,"Bangladesh","BGD",76.8533456,3050,70.2466006,23.5574147,10694.15,1.7484303,-4.0882141,25.34,2290.55,93792,18531,9260
"77",1976,"Bangladesh","BGD",76.8072521,3250,70.200507,26.630882,10769.2,2.6339476,5.6613612,25.34,2277.54,94132,17839,14535
"78",1977,"Bangladesh","BGD",76.7534762,3454,70.1467312,37.3375315,10844.25,2.30747009,2.67305605,25.35,2261.31,95033,19398,16211
"79",1978,"Bangladesh","BGD",76.7227472,3500,70.1006376,39.0367123,10919.3,2.52304876,7.07383773,25.36,2250.07,101503,19385,18419
"80",1979,"Bangladesh","BGD",76.6920181,3500,70.0468618,44.6759158,10994.35,6.27568337,4.8016346,25.39,2252.03,94058,18809,18660
"81",1980,"Bangladesh","BGD",76.7227472,3500,70.0699086,45.6844644,11069.4,11.3460735,0.81914187,25.43,2275.52,95056,20197,18990
"82",1981,"Bangladesh","BGD",76.6766536,3350,69.9777214,43.9156878,11144.45,13.1125469,7.2339437,25.49,2324.06,97810,19545,18479
"83",1982,"Bangladesh","BGD",76.6536068,3200,69.9393101,50.6677285,11219.5,7.89074279,2.13432784,25.56,2387.17,101718,20145,18114
"84",1983,"Bangladesh","BGD",76.5460552,3075,69.8240762,59.7896358,11294.55,11.8680813,3.8810464,25.62,2451.62,102748,22345,21090
"85",1984,"Bangladesh","BGD",77.2835523,2950,70.5615733,63.3370713,11369.6,8.31890712,4.80331002,25.67,2504.33,104151,21454,23021
"86",1985,"Bangladesh","BGD",77.0300376,2800,70.3080587,59.0780157,11444.65,5.55642423,3.34201465,25.69,2531.74,104186,21693,21647
"87",1986,"Bangladesh","BGD",77.1375893,2700,70.3771991,67.3022596,11519.7,8.72972073,4.17338256,25.68,2523.13,101724,21783,19282
"88",1987,"Bangladesh","BGD",77.7060767,2580,70.9456864,76.4252301,11594.75,9.87469609,3.77240185,25.64,2483.3,100535,22399,18657
"89",1988,"Bangladesh","BGD",80.1029423,2450,73.2657294,81.4163783,11669.8,7.41276596,2.41625686,25.58,2423.42,103381,22805,17542
"90",1989,"Bangladesh","BGD",80.2258585,2300,73.3886456,94.9393908,11744.85,6.04547976,2.83658213,25.52,2355.2,97860,25562,18246
"91",1990,"Bangladesh","BGD",79.7879696,2180,72.6434662,98.733291,11523.73,6.12671847,5.62225816,25.47,2289.88,91410,25661,15034
"92",1991,"Bangladesh","BGD",79.2809403,2050,72.0980257,107.021843,10830.76,6.35736412,3.48522782,25.44,2238.43,99868,26592,16767
"93",1992,"Bangladesh","BGD",73.3579166,1925,66.1365906,116.013707,11823.48,3.63407692,5.44268555,25.44,2204.88,107931,26893,18534
"94",1993,"Bangladesh","BGD",72.5666436,1800,65.3453177,111.166588,12568.4,3.0148186,4.71156173,25.46,2187.73,106787,27185,18457
"95",1994,"Bangladesh","BGD",71.8906046,1675,64.592456,124.80578,13543.45,5.31374008,3.89012644,25.49,2185.01,109570,25328,18390
"96",1995,"Bangladesh","BGD",72.0135208,1550,64.561727,142.194193,16554.48,10.2978118,5.1212779,25.53,2194.86,111665,26527,19483
"97",1996,"Bangladesh","BGD",71.6524545,1400,64.2006607,147.244825,16825.3,2.37712903,4.52291922,25.56,2215.47,112741,27629,19531
"98",1997,"Bangladesh","BGD",71.9443804,1300,64.4541753,132.205006,18970.9,5.30560106,4.4898965,25.59,2243.5,112551,27431,20544
"99",1998,"Bangladesh","BGD",72.4744565,1200,64.9458401,138.455169,19249.5,8.40223796,5.17702687,25.62,2273.57,113972,29358,22408
"100",1999,"Bangladesh","BGD",72.8739341,1080,64.8075594,161.889521,20105.5,6.1066959,4.67015637,25.66,2300.03,112810,32139,21627
"101",2000,"Bangladesh","BGD",72.2132596,1000,64.1468848,158.107545,20686.7,2.20825621,5.29329472,25.7,2317.28,120591,34836,22104
"102",2001,"Bangladesh","BGD",72.2363064,900,63.7858185,174.590269,25634.5,2.00717374,5.07728778,25.77,2319.56,129163,34020,21643
"103",2002,"Bangladesh","BGD",71.8521933,800,63.4017055,188.639162,27284.2,3.33256493,3.83312394,25.86,2303.24,126010,34902,21644
"104",2003,"Bangladesh","BGD",71.6601367,700,63.2096489,160.266894,28629.8,5.66870773,4.7395674,25.95,2271.41,138021,35768,21327
"105",2004,"Bangladesh","BGD",71.6217254,450,62.5566567,170.671374,30527.5,7.58753639,5.23953291,26.05,2228.54,144313,35359,19527
"106",2005,"Bangladesh","BGD",71.5295383,1555,60.774372,197.748704,32710.8,7.04661816,6.53594494,26.12,2179.46,148805,37814,17478
"107",2006,"Bangladesh","BGD",71.2913882,3000,60.5362219,193.190102,35902.8,6.76526117,6.67190498,26.17,2128.68,143848,38541,15344
"108",2007,"Bangladesh","BGD",71.1838365,4179,60.0445571,184.41108,37992.3,9.10698497,7.05859936,26.17,2080.71,149768,40833,18471
"109",2008,"Bangladesh","BGD",71.0839671,4615,59.9446877,200.064078,41580.8,8.9019449,6.01378976,26.14,2039.62,165373,41441,21753
"110",2009,"Bangladesh","BGD",71.0301913,5081,59.8909119,188.852873,44750,5.42347236,5.04512479,26.07,2009.56,133367,42404,21516
"111",2010,"Bangladesh","BGD",70.99178,5535,59.8525006,212.963933,50487.6,8.12667639,5.57178819,25.98,1994.38,182299,43422,23959
"112",2011,"Bangladesh","BGD",70.1236844,6773,58.984405,255.764522,54309.9,11.3951652,6.46437912,25.89,1998.01,180931,43917,26012
"113",2012,"Bangladesh","BGD",70.0852731,6482,58.9229469,260.443286,58985.2,6.21750422,6.52145878,25.78,2024.15,190627,44206,27789
"114",2013,"Bangladesh","BGD",71.2760237,6968,58.984405,254.600156,62965.7,7.53040641,6.01360566,25.69,2068.87,193790,45317,30138
"115",2014,"Bangladesh","BGD",71.5986787,7505,58.9152647,279.220237,66313.1,6.99163889,6.06105936,25.6,2121.47,193845,45382,30319
"116",2015,"Bangladesh","BGD",72.4763002,9255,59.4010909,298.966406,73156.9,6.19428023,6.55263988,25.54,2170.94,196476,45518,30860
"117",2016,"Bangladesh","BGD",73.1136975,9870,59.6466928,289.40227,81128.9,5.51352573,7.11347821,25.49,2206.33,199250,45863,30310
"118",2017,"Bangladesh","BGD",73.4526389,10612,59.5938388,303.712747,87658,5.70207016,6.59025,25.47,2216.46,204432,46619,31576
"119",2018,"Bangladesh","BGD",73.9594377,11360,59.7088423,318.466863,95944.6,5.5436214,7.31941263,25.49,2196.09,204106,47257,31302
"120",2019,"Bangladesh","BGD",75.8392871,11913,61.2045786,316.021087,92645,5.5919964,7.88190673,25.52,2150.39,206131,47402,30780
"121",2020,"Bangladesh","BGD",76.2694937,12530,61.4580933,320.9125,85493.1,5.69107475,3.44802563,25.58,2085.49,208215,48088,30970
"122",2021,"Bangladesh","BGD",77.3450104,13564,62.3031421,384.209618,79939.74781,5.54565431,6.93867912,25.64,2008.09,210951,48667,32996
"123",1961,"Bhutan","BTN",7.72638743,8,2.14027353,0.696296299,91.85,9.38347186,7.45295012,10,1824.97,63063,20000,10204
"124",1962,"Bhutan","BTN",7.7691929,9,2.14027353,0.679507533,92.48,7.07428003,-2.6357701,9.87,1867.22,63025,20000,10200
"125",1963,"Bhutan","BTN",7.7691929,10,2.14027353,0.662718767,92.12,8.9712325,-0.0553288,9.75,1903.65,63008,20000,10196
"126",1964,"Bhutan","BTN",7.81199837,11,2.14027353,0.645930001,93.667,13.8702462,7.82596303,9.65,1922.16,62992,20000,10192
"127",1965,"Bhutan","BTN",7.83340111,11,2.14027353,0.629141235,95.214,11.787817,3.38792918,9.6,1913.3,64202,20000,10189
"128",1966,"Bhutan","BTN",7.87620658,12,2.14027353,0.612352469,96.761,6.32689049,6.5397003,9.59,1884.02,64151,20000,10182
"129",1967,"Bhutan","BTN",7.87620658,12,2.14027353,0.595563703,98.308,10.2479356,5.15722974,9.61,1847.19,64815,20000,10175
"130",1968,"Bhutan","BTN",7.91901205,11,2.14027353,0.578774937,99.855,10.2248862,1.64293038,9.66,1815.58,64982,20000,10169
"131",1969,"Bhutan","BTN",7.91901205,11,2.14027353,0.696296299,101.402,8.97715234,-0.5533013,9.73,1802.27,63793,20000,10164
"132",1970,"Bhutan","BTN",8.17584487,11,2.35430088,0.679507533,102.949,7.16425212,3.29552114,9.81,1819,64407,20000,10159
"133",1971,"Bhutan","BTN",8.17584487,10,2.35430088,0.662718767,104.496,13.230839,1.18533626,9.9,1863.22,65000,20000,10154
"134",1972,"Bhutan","BTN",8.24005308,10,2.35430088,0.645930001,106.043,4.66982038,9.14991202,9.98,1921.68,64516,20000,10149
"135",1973,"Bhutan","BTN",8.24005308,10,2.35430088,0.629141235,107.59,4.00943591,1.66310364,10.04,1980.35,65079,20000,10145
"136",1974,"Bhutan","BTN",8.38987223,10,2.46131456,0.72173913,109.137,3.77929312,7.25476459,10.07,2025.7,65015,20000,10141
"137",1975,"Bhutan","BTN",8.38987223,11,2.46131456,0.86956522,120.684,4.29715204,5.71253209,10.07,2044.23,65152,20000,10137
"138",1976,"Bhutan","BTN",8.51828864,11,2.56832823,0.83333333,122.231,3.805859,-5.2381827,10.03,2031.71,65672,20000,10133
"139",1977,"Bhutan","BTN",8.56109411,12,2.56832823,0.83333333,123.778,3.76725174,6.73582153,9.97,1998.05,66176,20000,10000
"140",1978,"Bhutan","BTN",8.56109411,10,2.56832823,0.83333333,125.325,4.24634362,6.00620363,9.9,1954.21,66667,20000,10000
"141",1979,"Bhutan","BTN",8.66810778,10,2.67534191,0.8,132.872,5.79652338,3.47573324,9.86,1911.15,67143,20000,10000
"142",1980,"Bhutan","BTN",8.83932967,11,2.78235559,0.76923077,136.419,6.37288136,7.2888929,9.85,1879.75,66667,20000,10000
"143",1981,"Bhutan","BTN",8.83932967,10,2.78235559,0.76923077,140.966,9.97237569,15.1222948,9.88,1867.93,67297,20500,10941
"144",1982,"Bhutan","BTN",8.94634334,11,2.88936926,0.74074074,145.513,9.84677217,3.43977385,9.94,1873.31,67676,20172,10526
"145",1983,"Bhutan","BTN",9.20317617,10,3.10339661,1.71724138,150.06,18.0577788,10.4310159,10.01,1891.71,66667,20000,11000
"146",1984,"Bhutan","BTN",9.50281446,10,3.10339661,1.31034483,154.607,7.03770661,4.55665899,10.07,1919.02,78858,21560,11366
"147",1985,"Bhutan","BTN",9.50281446,15,3.10339661,0.68965517,159.154,1.88201231,4.028533,10.1,1950.92,67500,19375,10000
"148",1986,"Bhutan","BTN",9.50281446,20,3.10339661,0.68965517,163.701,9.96447602,11.3921976,10.09,1983.27,70000,18000,9167
"149",1987,"Bhutan","BTN",9.9522719,30,3.12479935,0.68493151,168.248,6.33177193,29.0543239,10.04,2011.86,98039,17568,8000
"150",1988,"Bhutan","BTN",9.84525822,30,3.01778567,0.70921986,172.795,10.0967138,4.76737302,9.97,2032.51,121951,16574,6396
"151",1989,"Bhutan","BTN",9.67403634,40,2.84656379,0.7518797,177.342,8.77983719,7.35556732,9.91,2040.87,120000,16538,6386
"152",1990,"Bhutan","BTN",9.71684181,50,2.88936926,0.74074074,185.39,10.0118383,10.3831179,9.87,2032.79,119832,20976,7692
"153",1991,"Bhutan","BTN",10.7869786,60,2.88936926,0.74074074,182.8,12.2751729,-0.4078757,9.86,2004.51,83824,12085,8333
"154",1992,"Bhutan","BTN",10.7869786,70,2.88936926,0.74074074,205.11,15.9752174,4.60089143,9.9,1960.44,84711,13133,9091
"155",1993,"Bhutan","BTN",10.8083813,80,2.910772,0.73529412,177.05,11.1980166,1.98636659,9.96,1912.36,85598,14392,11667
"156",1994,"Bhutan","BTN",12.7889447,90,3.51758794,0.71428571,205.9,7.00995355,4.95150367,10.03,1871.9,86485,16071,12500
"157",1995,"Bhutan","BTN",14.1959799,100,3.66834171,0.68493151,246.03,9.48754837,7.07411728,10.09,1850.8,87372,16667,13000
"158",1996,"Bhutan","BTN",14.321608,106,3.79396985,0.66225166,296.56,8.79001382,5.56517286,10.14,1860.75,88259,16508,14167
"159",1997,"Bhutan","BTN",14.3718593,110,3.84422111,0.65359477,381.17,6.50548718,5.37383852,10.16,1903.56,89146,17223,15385
"160",1998,"Bhutan","BTN",14.3718593,112,3.84422111,1.911337354,377.42,10.58559,5.91403084,10.17,1964.71,89094,17973,15385
"161",1999,"Bhutan","BTN",14.3718593,115,3.84422111,3.169079938,378.53,6.77699394,7.98397202,10.18,2028.2,79250,18629,15385
"162",2000,"Bhutan","BTN",14.5226131,117,3.86934673,4.426822522,388.84,4.01212081,3.35506829,10.21,2078.09,70968,17038,9457
"163",2001,"Bhutan","BTN",14.5477387,117,3.89447236,5.684565106,379.31,3.41478946,8.34895448,10.27,2098.06,77143,17391,10000
"164",2002,"Bhutan","BTN",14.5728643,117,3.91959799,6.94230769,411.52,2.45535714,10.9922818,10.37,2077.98,75267,19987,11269
"165",2003,"Bhutan","BTN",14.6482412,120,3.94472362,6.99363057,377.73,2.57230862,7.82330236,10.49,2027.73,98279,22871,14239
