Attributte,Missing Values more than 30% for 8+ countries
Agricultural.irrigated.land.of.total.agricultural.land.,Yes
Agricultural.land.of.land.area.,No
"Agricultural.machinery, tractors",No
Agricultural.raw.materials.exports.of.merchandise.exports.,Yes
Agricultural.raw.materials.imports.of.merchandise.imports.,Yes
Annual.freshwater.withdrawals.,Yes
Child.employment.in.agriculture(Ages 7-14),Yes
Employment.in.agriculture.of.total.employment,Yes
Employment.in.agriculture..female....of.female.employment...modeled.ILO.estimate.,yes
Employment.in.agriculture.male..of.male.employment...modeled.ILO.estimate.,yes
Arable.land.of.land.area.,No
Fertilizer.consumption.kilograms.per.hectare.of.arable.land.,No
CO2.emissions..kt.,No
Total.greenhouse.gas.emissions....change.from.1990.,Yes
Inflation.consumer.prices.annual.,No
GDP.growth.annual.,No
Average.precipitation.in.depth..mm.per.year.,Yes
Droughts.floods..extreme.temperatures..of.population.average.1990.2009.,Yes
Human.capital.index.HCI.(scale 0-1),Yes